Rank,Title,Year,Rate
1,Planet Earth II,2016,9.4
2,Breaking Bad,2008,9.4
3,Planet Earth,2006,9.4
4,Band of Brothers,2001,9.4
5,Chernobyl,2019,9.3
6,The Wire,2002,9.3
7,Blue Planet II,2017,9.2
8,Avatar: The Last Airbender,2005,9.2
9,Cosmos: A Spacetime Odyssey,2014,9.2
10,The Sopranos,1999,9.2
11,Our Planet,2019,9.2
12,Cosmos,1980,9.2
13,Game of Thrones,2011,9.1
14,Rick and Morty,2013,9.1
15,The World at War,1973,9.1
16,Hagane no renkinjutsushi,2009,9.1
17,The Last Dance,2020,9
18,Life,2009,9
19,Sherlock,2010,9
20,The Twilight Zone,1959,9
21,The Vietnam War,2017,9
22,Batman: The Animated Series,1992,9
23,Scam 1992: The Harshad Mehta Story,2020,9
24,Arcane: League of Legends,2021,8.9
25,The Blue Planet,2001,8.9
26,Shingeki no Kyojin,2013,8.9
27,The Office,2005,8.9
28,Firefly,2002,8.9
29,Human Planet,2011,8.9
30,Frozen Planet,2011,8.9
31,Death Note: Desu nôto,2006,8.9
32,Only Fools and Horses....,1981,8.9
33,True Detective,2014,8.9
34,The Civil War,1990,8.9
35,Hunter x Hunter,2011,8.9
36,The Beatles: Get Back,2021,8.9
37,Seinfeld,1989,8.9
38,Sahsiyet,2018,8.9
39,Dekalog,1989,8.9
40,Fargo,2014,8.9
41,Clarkson's Farm,2021,8.9
42,Kaubôi bibappu,1998,8.9
43,Better Call Saul,2015,8.9
44,Nathan for You,2013,8.8
45,Gravity Falls,2012,8.8
46,Friends,1994,8.8
47,When They See Us,2019,8.8
48,Last Week Tonight with John Oliver,2014,8.8
49,Africa,2013,8.8
50,TVF Pitchers,2015,8.8
51,Apocalypse: La 2ème guerre mondiale,2009,8.8
52,Monty Python's Flying Circus,1969,8.8
53,It's Always Sunny in Philadelphia,2005,8.8
54,Taskmaster,2015,8.8
55,Das Boot,1985,8.8
56,Curb Your Enthusiasm,2000,8.8
57,Pride and Prejudice,1995,8.8
58,Fawlty Towers,1975,8.8
59,The West Wing,1999,8.8
60,Freaks and Geeks,1999,8.8
61,Leyla ile Mecnun,2011,8.7
62,Blackadder Goes Forth,1989,8.7
63,Twin Peaks,1990,8.7
64,Black Mirror,2011,8.7
65,Narcos,2015,8.7
66,BoJack Horseman,2014,8.7
67,Chappelle's Show,2003,8.7
68,Succession,2018,8.7
69,Dragon Ball Z,1989,8.7
70,Dragon Ball Z: Doragon bôru zetto,1989,8.7
71,"I, Claudius",1976,8.7
72,South Park,1997,8.7
73,Rome,2005,8.7
74,Peaky Blinders,2013,8.7
75,One Piece: Wan pîsu,1999,8.7
76,Ted Lasso,2020,8.7
77,Oz,1997,8.7
78,Six Feet Under,2001,8.7
79,Over the Garden Wall,2014,8.7
80,Kota Factory,2019,8.7
81,Dark,2017,8.7
82,The Mandalorian,2019,8.7
83,Gibi,2021,8.7
84,Arrested Development,2003,8.7
85,Steins;Gate,2011,8.7
86,One Punch Man: Wanpanman,2015,8.7
87,The Boys,2019,8.7
88,The Simpsons,1989,8.7
89,House M.D.,2004,8.7
90,The Rehearsal,2022,8.7
91,Stranger Things,2016,8.7
92,The Shield,2002,8.7
93,Battlestar Galactica,2004,8.6
94,Fleabag,2016,8.6
95,Downton Abbey,2010,8.6
96,Invincible,2021,8.6
97,Mad Men,2007,8.6
98,Vinland Saga,2019,8.6
99,Gullak,2019,8.6
100,House of Cards,2013,8.6
101,Sarabhai V/S Sarabhai,2004,8.6
102,The Marvelous Mrs. Maisel,2017,8.6
103,Star Trek: The Next Generation,1987,8.6
104,The Crown,2016,8.6
105,Severance,2022,8.6
106,Peep Show,2003,8.6
107,Panchayat,2020,8.6
108,Friday Night Lights,2006,8.6
109,The Adventures of Sherlock Holmes,1984,8.6
110,Top Gear,2002,8.6
111,Kenpû Denki Berserk,1997,8.6
112,The Grand Tour,2016,8.6
113,1883,2021,8.6
114,The Thick of It,2005,8.6
115,Line of Duty,2012,8.6
116,Justice League Unlimited,2004,8.6
117,Deadwood,2004,8.6
118,Dexter,2006,8.6
119,The X Files,1993,8.6
120,Parks and Recreation,2009,8.6
121,The Jinx: The Life and Deaths of Robert Durst,2015,8.6
122,Father Ted,1995,8.6
123,Aspirants,2021,8.6
124,Naruto: Shippûden,2007,8.6
125,Blackadder II,1986,8.6
126,This Is Us,2016,8.6
